"N", "P", "time", "mpitime"
1000, 1, 7.731, 0
2000, 1, 63.0159, 0
3000, 1, 207.825, 0
4000, 1, 489.799, 0
5000, 1, 960.712, 0
6000, 1, 1658.02, 0
7000, 1, 2704.94, 0
8000, 1, 4107.2, 0
10000, 1, 7744.75, 0
1000, 2, 5.89251, 0.068719
1000, 4, 3.24546, 0.142406
1000, 5, 2.79533, 0.216483
1000, 10, 1.48831, 0.251756
1000, 20, 1.07014, 0.426249
1000, 40, 0.928492, 0.583418
2000, 2, 46.9689, 1.5524
2000, 4, 28.0923, 2.57043
2000, 5, 21.3451, 1.62894
2000, 10, 10.8798, 1.0389
2000, 20, 6.5613, 1.74199
2000, 40, 4.71706, 2.34385
3000, 2, 159.883, 2.28846
3000, 4, 88.1045, 6.6306
3000, 5, 75.3104, 6.3555
3000, 10, 40.9362, 6.03354
3000, 20, 21.7472, 3.33208
3000, 40, 13.5175, 4.79888
4000, 2, 377.949, 8.05774
4000, 4, 214.047, 18.1266
4000, 5, 177.431, 17.3707
4000, 10, 96.6101, 10.5233
4000, 20, 56.1037, 12.961
4000, 40, 27.4683, 6.31439
5000, 2, 776.377, 50.509
5000, 4, 428.63, 43.8406
5000, 5, 336.294, 25.1509
5000, 10, 182.397, 15.6608
5000, 20, 101.396, 14.4254
5000, 40, 59.249, 15.8848
6000, 2, 1267.79, 7.51114
6000, 4, 697.56, 22.8104
6000, 5, 621.421, 72.9537
6000, 10, 327.422, 47.5051
6000, 20, 177.974, 31.7675
6000, 40, 95.0103, 16.4704
7000, 2, NA, NA
7000, 4, 1173.88, 98.3344
7000, 5, 961.541, 96.0451
7000, 10, 512.595, 75.9646
7000, 20, 268.039, 46.6531
7000, 40, 144.583, 34.9473
8000, 2, NA, NA
8000, 4, 1609.34, 50.8961
8000, 5, 1310.31, 36.581
8000, 10, 692.723, 36.1582
8000, 20, 376.582, 33.6784
8000, 40, 209.875, 35.4143
10000, 2, NA, NA
10000, 4, NA, NA
10000, 5, NA, NA
10000, 10, 1494.21, 159.777
10000, 20, 773.7, 92.9503
10000, 40, 413.255, 64.6501
